"dvd" "agcat" "allcause" "flu" "pneum" "AH3" "AH1" "B" "pop"
"1" 201040 1 770 0 13 7.57224189012183e-05 3.3128558269283e-05 6.75626754851388e-05 74064714.0038719
"2" 201041 1 691 1 9 0.000123547138143315 4.49262320521146e-05 8.4236685097715e-05 74060700.5272911
"3" 201042 1 718 0 16 0.000157832624899262 3.34796477059042e-05 9.38513035421572e-05 74056685.4742177
"4" 201043 1 684 0 13 0.000154527491803884 3.15362228171192e-05 0.000128813340891464 74052668.7395521
"5" 201044 1 707 1 16 0.000263401270005842 5.48752645845505e-05 0.000283764621201073 74048650.2181948
"6" 201045 1 704 1 16 0.000323660205551621 5.56290978291849e-05 0.000430086977940735 74044629.8050464
"7" 201046 1 771 1 21 0.0004169041247739 7.02154315408674e-05 0.000649492741753023 74040607.3950072
"8" 201047 1 688 2 16 0.000715988208833548 5.82104234824023e-05 0.000893622889428517 74036582.8829779
"9" 201048 1 714 1 18 0.000507218022564276 0.000118223749620245 0.000625441772184521 74032556.1638588
"10" 201049 1 730 2 17 0.000739007119988589 9.17388148951352e-05 0.000778573484866872 74028527.1325506
"11" 201050 1 665 0 14 0.00141653775219488 0.000252587454608243 0.0015173865516392 74024495.6839535
"12" 201051 1 690 3 25 0.00281519725468473 0.000397072195985644 0.00250526277731709 74020461.7129683
"13" 201052 1 722 4 28 0.002836406630378 0.000647327157362341 0.00202154693035073 74016425.1144953
"14" 201101 1 655 4 23 0.00208978262078902 0.000748193777813353 0.00110948302591368 74012385.783435
"15" 201102 1 681 3 21 0.00235937594573136 0.00127406301069493 0.00104698881348463 74008343.6146879
"16" 201103 1 674 9 24 0.00286838393988171 0.00191475891274826 0.00157058422026656 74004298.5031546
"17" 201104 1 779 10 30 0.00317594739081445 0.00262708399944886 0.001950451125872 74000250.3437355
"18" 201105 1 732 11 27 0.00354250469848363 0.00333608625846916 0.00255338269867518 73996199.031331
"19" 201106 1 722 9 32 0.0033158957269706 0.00313919520530023 0.00248085939904829 73992144.4608418
"20" 201107 1 833 9 29 0.00345140169909465 0.00341896879354325 0.00276081590837564 73988086.5271682
"21" 201108 1 754 8 41 0.00245816151594327 0.00239996640429689 0.00239416361586548 73984025.1252108
"22" 201109 1 726 11 22 0.00166414989046073 0.00157506669586886 0.00150496004908234 73979960.14987
"23" 201110 1 765 7 27 0.00117906047528002 0.000944157681361762 0.00102252185157859 73975891.4960464
"24" 201111 1 731 5 22 0.000898133079212682 0.00063063857006089 0.00080397552870164 73971819.0586405
"25" 201112 1 699 7 27 0.000661009340946328 0.000373010520481524 0.000519882208106781 73967742.7325526
"26" 201113 1 790 0 31 0.000401657230309674 0.00023813669781206 0.000456995662944096 73963662.4126834
"27" 201114 1 738 1 26 0.000247399176412477 8.82680478657581e-05 0.000314688022760845 73959577.9939332
"28" 201115 1 754 4 18 0.000177750468562744 4.44376171406859e-05 0.00017890469238458 73955489.3712027
"29" 201116 1 702 6 23 8.83497896576125e-05 3.37335560510884e-05 0.000131981995360758 73951396.4393922
"30" 201117 1 737 2 16 9.42527987137348e-05 3.14175995712449e-05 0.000108687912030253 73947299.0934023
"31" 201118 1 733 1 16 2.24285852634537e-05 9.75155881019726e-06 5.72091450198239e-05 73943197.2281335
"32" 201119 1 732 1 27 3.43411920521264e-05 8.5852980130316e-06 4.2926490065158e-05 73939090.7384862
"33" 201120 1 749 1 18 2.28534757017375e-05 0 3.80891261695626e-05 73934979.519361
"34" 201121 1 733 1 13 1.78951928772888e-05 1.19301285848592e-05 8.52152041775659e-06 73930863.4656583
"35" 201122 1 752 1 14 0 2.98867866806625e-05 2.49056555672187e-05 73926742.4722787
"36" 201123 1 773 0 21 0 0 9.32147416638634e-06 73922616.4341225
"37" 201124 1 801 1 22 0 2.77281051262113e-05 0 73918485.2460903
"38" 201125 1 719 0 15 0 0 1.3772490836711e-05 73914348.8030827
"39" 201126 1 757 1 12 0 5.83725571638384e-06 5.83725571638384e-06 73910207
"40" 201127 1 775 0 8 0 0 6.25889543953132e-06 73906059.8667275
"41" 201128 1 742 0 11 5.04603441187173e-06 0 1.51381032356152e-05 73901907.9730891
"42" 201129 1 714 0 5 9.87747935612993e-06 0 1.48162190341949e-05 73897752.0238935
"43" 201130 1 768 0 13 0 0 5.66235529045234e-06 73893592.7239493
"44" 201131 1 764 1 5 5.73955182883416e-06 8.60932774325124e-06 9.5659197147236e-06 73889430.7780653
"45" 201132 1 764 0 11 2.6718023593238e-05 8.90600786441267e-06 1.01782947021859e-05 73885266.89105
"46" 201133 1 750 1 13 1.51320459229665e-05 6.05281836918662e-06 5.29621607303829e-06 73881101.7677121
"47" 201134 1 709 0 14 2.66356095299718e-05 0 1.59813657179831e-05 73876936.1128603
"48" 201135 1 760 0 20 2.64439703659266e-05 1.76293135772844e-05 4.89703154924566e-06 73872770.6313033
"49" 201136 1 717 1 13 2.70914866808213e-05 9.03049556027376e-06 0 73868606.0278496
"50" 201137 1 689 0 14 4.77138548817704e-05 0 1.43141564645311e-05 73864443.007308
"51" 201138 1 673 0 7 2.63842933966055e-05 0 2.19869111638379e-05 73860282.274487
"52" 201139 1 704 0 15 4.20217420430687e-05 2.33454122461493e-06 1.77425133070734e-05 73856124.5341955
"53" 201140 1 722 0 13 2.85790511139924e-05 7.14476277849811e-06 2.23273836828066e-05 73851970.4912419
"54" 201141 1 733 2 16 9.01838136416026e-06 0 2.70551440924808e-05 73847820.8504351
"55" 201142 1 753 0 19 2.60304757742037e-05 5.20609515484073e-06 2.23118363778889e-05 73843676.3165835
"56" 201143 1 707 0 16 7.54844243597152e-05 0 3.77422121798576e-05 73839537.594496
"57" 201144 1 718 2 23 4.8895348379504e-05 3.25968989196694e-06 3.04237723250247e-05 73835405.3889811
"58" 201145 1 704 0 8 7.41158847842557e-05 5.29399177030398e-06 4.36754321050078e-05 73831280.4048476
"59" 201146 1 696 0 17 5.3574879897917e-05 0 3.44409942200895e-05 73827163.3469039
"60" 201147 1 710 1 21 0.000146866117676237 1.33514652432943e-05 7.32423236203573e-05 73823054.919959
"61" 201148 1 659 1 19 8.91676273165793e-05 6.60500943085773e-06 5.52534442773675e-05 73818955.8288213
"62" 201149 1 683 0 25 0.000185092744555396 2.50125330480265e-05 6.87617272156657e-05 73814866.7782995
"63" 201150 1 689 0 19 0.000160735502760805 8.68840555463808e-06 4.72810906926817e-05 73810788.4732023
"64" 201151 1 660 0 29 0.000330448939393318 2.36034956709513e-05 7.08104870128538e-05 73806721.6183384
"65" 201152 1 638 0 32 0.000330498899437243 1.34897509974385e-05 2.26308322654396e-05 73802666.9185164
