Age Code,State,State Code,Yearly July 1st Estimates,Population
0,Alabama,1,2010,59276
0,Alabama,1,2011,59150
0,Alabama,1,2012,58517
0,Alabama,1,2013,57380
0,Alabama,1,2014,58354
0,Alabama,1,2015,59080
0,Alabama,1,2016,58514
0,Alabama,1,2017,57902
0,Alaska,2,2010,11040
0,Alaska,2,2011,11699
0,Alaska,2,2012,11089
0,Alaska,2,2013,11280
0,Alaska,2,2014,11390
0,Alaska,2,2015,11253
0,Alaska,2,2016,11160
0,Alaska,2,2017,11099
0,Arizona,4,2010,86629
0,Arizona,4,2011,85926
0,Arizona,4,2012,85395
0,Arizona,4,2013,86006
0,Arizona,4,2014,86065
0,Arizona,4,2015,86653
0,Arizona,4,2016,85178
0,Arizona,4,2017,85596
0,Arkansas,5,2010,38222
0,Arkansas,5,2011,38177
0,Arkansas,5,2012,38302
0,Arkansas,5,2013,37647
0,Arkansas,5,2014,37939
0,Arkansas,5,2015,38453
0,Arkansas,5,2016,38211
0,Arkansas,5,2017,37966
0,California,6,2010,495809
0,California,6,2011,509408
0,California,6,2012,497267
0,California,6,2013,499557
0,California,6,2014,499217
0,California,6,2015,500834
0,California,6,2016,489444
0,California,6,2017,488479
0,Colorado,8,2010,66916
0,Colorado,8,2011,65824
0,Colorado,8,2012,64645
0,Colorado,8,2013,64654
0,Colorado,8,2014,65614
0,Colorado,8,2015,66222
0,Colorado,8,2016,66792
0,Colorado,8,2017,67468
0,Connecticut,9,2010,38085
0,Connecticut,9,2011,37681
0,Connecticut,9,2012,36858
0,Connecticut,9,2013,36204
0,Connecticut,9,2014,36259
0,Connecticut,9,2015,36414
0,Connecticut,9,2016,35392
0,Connecticut,9,2017,35287
0,Delaware,10,2010,11008
0,Delaware,10,2011,11233
0,Delaware,10,2012,11073
0,Delaware,10,2013,10810
0,Delaware,10,2014,10930
0,Delaware,10,2015,10983
0,Delaware,10,2016,11035
0,Delaware,10,2017,10956
0,District of Columbia,11,2010,7605
0,District of Columbia,11,2011,9305
0,District of Columbia,11,2012,9368
0,District of Columbia,11,2013,9610
0,District of Columbia,11,2014,9446
0,District of Columbia,11,2015,9802
0,District of Columbia,11,2016,9681
0,District of Columbia,11,2017,9832
0,Florida,12,2010,207968
0,Florida,12,2011,213084
0,Florida,12,2012,213808
0,Florida,12,2013,213300
0,Florida,12,2014,218522
0,Florida,12,2015,222068
0,Florida,12,2016,225621
0,Florida,12,2017,225700
0,Georgia,13,2010,132626
0,Georgia,13,2011,131967
0,Georgia,13,2012,131213
0,Georgia,13,2013,128079
0,Georgia,13,2014,128954
0,Georgia,13,2015,131054
0,Georgia,13,2016,130657
0,Georgia,13,2017,130163
0,Hawaii,15,2010,18028
0,Hawaii,15,2011,19113
0,Hawaii,15,2012,18839
0,Hawaii,15,2013,19003
0,Hawaii,15,2014,18880
0,Hawaii,15,2015,18186
0,Hawaii,15,2016,18258
0,Hawaii,15,2017,17950
