,X,agegrp_txt,ccount,ccount_cri,macount,macount_cri,hcount,hlower,hupper,dcount,dlower,dupper,season,population,attack rate,,case sum,min value,max value,hosp sum,min value,max value,death sum,min value,max value,Case-fatality proportions
1,1,0-4 yrs,2776311,"(2,286,712, 3,521,500)",1860128,"(1,497,299, 2,411,113)",19355,15942,24550,200,0,509,2010-2011,20201362,14%,,"7,211,656","2,942,964","11,497,114","31,516","12,075","48,377",352,130,"1,161",0.01%
2,2,5-17 yrs,4435345,"(3,609,151, 5,847,156)",2306379,"(1,847,898, 3,083,851)",12161,9896,16032,152,0,672,2010-2011,53980105,8%,,,,,,,,,,,0.00%
3,3,18-49 yrs,7410066,"(6,149,320, 9,526,927)",2741724,"(2,203,691, 3,638,292)",41593,34516,53475,5240,3682,8341,2010-2011,135515233,5%,,,,,,,,,,,0.07%
4,4,50-64 yrs,4843828,"(4,031,400, 6,493,256)",2082846,"(1,662,186, 2,869,122)",51367,42752,68859,5937,4254,9385,2010-2011,58780854,8%,,,,,,,,,,,0.12%
5,5,65+ yrs,1820570,"(1,591,020, 2,395,285)",1019519,"(851,630, 1,383,748)",165506,144638,217753,25128,20321,38334,2010-2011,40267984,5%,,,,,,,,,,,1.38%
6,6,All ages,21286119,"(19,897,625, 24,938,539)",10010597,"(9,269,451, 11,834,528)",289983,270164,351777,36656,32129,51393,2010-2011,308745538,7%,,,,,,,,,,,0.17%
7,1,0-4 yrs,947030,"(755,712, 1,246,667)",634510,"(498,475, 847,571)",6602,5268,8691,0,0,0,2011-2012,20162058,5%,,"2,942,964",,,"12,075",,,0,,,0.00%
8,2,5-17 yrs,1995934,"(1,485,293, 3,030,988)",1037886,"(765,690, 1,598,621)",5473,4073,8311,0,0,0,2011-2012,53772214,4%,,,,,,,,,,,0.00%
9,3,18-49 yrs,3478066,"(2,741,852, 5,221,713)",1286885,"(979,803, 1,988,874)",19522,15390,29310,744,237,2729,2011-2012,135641166,3%,,,,,,,,,,,0.02%
10,4,50-64 yrs,1928610,"(1,554,791, 2,983,510)",829302,"(642,931, 1,314,131)",20452,16488,31639,2328,1392,6289,2011-2012,60622338,3%,,,,,,,,,,,0.12%
11,5,65+ yrs,965981,"(835,332, 1,395,560)",540949,"(451,860, 807,903)",87816,75939,126869,9374,6889,18288,2011-2012,41394141,2%,,,,,,,,,,,0.97%
12,6,All ages,9315621,"(8,673,817, 12,044,892)",4329532,"(4,007,254, 5,565,438)",139866,130814,186997,12447,10559,23491,2011-2012,311591917,3%,,,,,,,,,,,0.13%
13,1,0-4 yrs,3566906,"(3,059,722, 4,271,571)",2389827,"(1,996,133, 2,917,744)",24867,21331,29779,291,65,663,2012-2013,19999344,18%,,"10,258,682",,,"43,215",,,"1,161",,,0.01%
14,2,5-17 yrs,6691776,"(5,728,136, 7,991,206)",3479724,"(2,881,956, 4,250,820)",18348,15706,21911,870,408,1695,2012-2013,53728744,12%,,,,,,,,,,,0.01%
15,3,18-49 yrs,11413335,"(9,705,245, 14,306,139)",4222934,"(3,413,774, 5,559,639)",64063,54476,80300,2072,1222,3751,2012-2013,135875135,8%,,,,,,,,,,,0.02%
16,4,50-64 yrs,7907273,"(6,779,234, 9,719,255)",3400128,"(2,763,275, 4,354,157)",83854,71892,103070,4170,2915,6518,2012-2013,61165461,13%,,,,,,,,,,,0.05%
17,5,65+ yrs,4207894,"(3,649,455, 5,225,475)",2356421,"(1,963,085, 3,030,074)",382536,331769,475043,35167,28737,48111,2012-2013,43145356,10%,,,,,,,,,,,0.84%
18,6,All ages,33787185,"(31,813,324, 38,116,338)",15849033,"(14,747,296, 18,044,409)",573669,526244,676404,42570,36519,56543,2012-2013,313914040,11%,,,,,,,,,,,0.13%
19,1,0-4 yrs,2525568,"(2,193,604, 2,950,196)",1692131,"(1,426,310, 2,024,015)",17607,15293,20567,74,0,216,2013-2014,19868088,13%,,"6,509,310",,,"28,530",,,130,,,0.00%
20,2,5-17 yrs,3983742,"(3,433,463, 4,695,861)",2071546,"(1,725,701, 2,506,930)",10923,9414,12876,56,0,240,2013-2014,53717784,7%,,,,,,,,,,,0.00%
21,3,18-49 yrs,13038323,"(11,459,968, 15,201,283)",4824179,"(3,999,013, 5,949,705)",73184,64325,85325,3422,2419,5330,2013-2014,135963236,10%,,,,,,,,,,,0.03%
22,4,50-64 yrs,8484977,"(7,462,475, 9,864,079)",3648540,"(3,013,667, 4,473,016)",89981,79137,104606,5964,4405,8935,2013-2014,61875657,14%,,,,,,,,,,,0.07%
23,5,65+ yrs,1707384,"(1,494,059, 2,039,988)",956135,"(795,414, 1,191,320)",155217,135824,185453,28414,23222,39030,2013-2014,44704074,4%,,,,,,,,,,,1.66%
24,6,All ages,29739994,"(27,857,029, 32,700,078)",13192531,"(12,102,484, 14,799,134)",346912,324890,385289,37930,33023,49640,2013-2014,316128839,9%,,,,,,,,,,,0.13%
25,1,0-4 yrs,3207314,"(2,755,504, 3,808,657)",2148900,"(1,794,219, 2,614,247)",22360,19210,26552,396,171,752,2014-2015,19876883,16%,,"9,595,715",,,"39,876",,,803,,,0.01%
26,2,5-17 yrs,6388401,"(5,487,505, 7,554,676)",3321969,"(2,766,223, 4,055,360)",17516,15046,20714,407,149,799,2014-2015,53706735,12%,,,,,,,,,,,0.01%
27,3,18-49 yrs,8606083,"(7,750,712, 9,693,873)",3184251,"(2,649,182, 3,815,288)",48306,43505,54412,985,552,1705,2014-2015,136381837,6%,,,,,,,,,,,0.01%
28,4,50-64 yrs,7283766,"(6,374,888, 8,485,648)",3132019,"(2,568,790, 3,877,954)",77242,67604,89988,4780,3444,7014,2014-2015,62648390,12%,,,,,,,,,,,0.07%
29,5,65+ yrs,4679888,"(4,072,076, 5,570,118)",2620737,"(2,159,437, 3,246,219)",425444,370189,506374,44808,37403,57181,2014-2015,46243211,10%,,,,,,,,,,,0.96%
30,6,All ages,30165452,"(28,571,644, 32,660,556)",14407876,"(13,330,862, 15,907,256)",590869,535829,675052,51376,44163,64254,2014-2015,318857056,9%,,,,,,,,,,,0.17%
31,1,0-4 yrs,2289085,"(1,971,600, 2,710,436)",1533687,"(1,280,374, 1,856,200)",15958,13745,18896,138,0,332,2015-2016,19907281,11%,,"6,638,691",,,"27,884",,,252,,,0.01%
32,2,5-17 yrs,4349606,"(3,713,298, 5,199,812)",2261795,"(1,889,527, 2,769,582)",11926,10182,14257,114,0,317,2015-2016,53737830,8%,,,,,,,,,,,0.00%
33,3,18-49 yrs,10110566,"(9,002,538, 11,534,770)",3740909,"(3,125,054, 4,503,836)",56751,50531,64745,1991,1304,2990,2015-2016,136800721,7%,,,,,,,,,,,0.02%
34,4,50-64 yrs,7080281,"(6,287,084, 8,144,182)",3044521,"(2,519,877, 3,709,453)",75084,66673,86367,4095,3042,5572,2015-2016,63212136,11%,,,,,,,,,,,0.06%
35,5,65+ yrs,1652811,"(1,447,822, 1,972,434)",925574,"(771,824, 1,144,911)",150256,131620,179312,18448,14714,24705,2015-2016,47760852,3%,,,,,,,,,,,1.12%
36,6,All ages,25482349,"(24,044,497, 27,727,962)",11506486,"(10,621,403, 12,793,845)",309975,289784,344866,24786,20995,31426,2015-2016,321418820,8%,,,,,,,,,,,0.10%
37,1,0-4 yrs,2287287,"(1,960,635, 2,723,650)",1532482,"(1,277,563, 1,869,682)",15946,13669,18988,119,0,293,2016-2017,19927037,11%,,"8,240,700",,,"32,270",,,220,,,0.01%
38,2,5-17 yrs,5953413,"(5,119,854, 7,051,746)",3095775,"(2,577,849, 3,777,112)",16324,14038,19335,101,0,298,2016-2017,53715248,11%,,,,,,,,,,,0.00%
39,3,18-49 yrs,8528443,"(7,688,900, 9,599,740)",3155524,"(2,638,513, 3,785,678)",47870,43158,53883,1572,973,2607,2016-2017,136938833,6%,,,,,,,,,,,0.02%
40,4,50-64 yrs,8643814,"(7,589,021, 10,108,848)",3716840,"(3,029,654, 4,600,578)",91665,80479,107202,4148,3005,6134,2016-2017,63302200,14%,,,,,,,,,,,0.05%
41,5,65+ yrs,4438794,"(3,874,395, 5,285,449)",2485725,"(2,064,999, 3,077,956)",403527,352218,480495,45488,37996,58076,2016-2017,49244195,9%,,,,,,,,,,,1.03%
42,6,All ages,29851752,"(28,168,156, 32,451,262)",13986346,"(12,930,463, 15,513,407)",575332,522847,657348,51428,44115,64341,2016-2017,323127513,9%,,,,,,,,,,,0.17%
43,1,0-4 yrs,3984513,"(3,440,994, 4,705,930)",2669623,"(2,236,993, 3,242,578)",27778,23989,32808,118,0,291,2017-2018,19938860,20%,,"11,497,114",,,"48,377",,,618,,,0.00%
44,2,5-17 yrs,7512601,"(6,487,823, 8,878,019)",3906553,"(3,253,293, 4,740,051)",20599,17789,24343,500,209,944,2017-2018,53716518,14%,,,,,,,,,,,0.01%
45,3,18-49 yrs,14428065,"(13,020,428, 16,217,395)",5338384,"(4,481,525, 6,404,911)",80985,73084,91028,2873,1950,4461,2017-2018,137808369,10%,,,,,,,,,,,0.02%
46,4,50-64 yrs,15588035,"(13,679,833, 18,199,479)",6702855,"(5,477,891, 8,255,108)",165307,145071,193000,7478,5593,10706,2017-2018,63396752,25%,,,,,,,,,,,0.05%
47,5,65+ yrs,7309120,"(6,364,074, 8,657,371)",4093107,"(3,397,226, 5,073,498)",664465,578552,787034,68448,57487,86690,2017-2018,50858679,14%,,,,,,,,,,,0.94%
48,6,All ages,48822333,"(46,094,204, 53,050,365)",22710522,"(20,961,891, 25,176,329)",959134,872416,1091360,79416,68867,98918,2017-2018,325719178,15%,,,,,,,,,,,0.16%
