agegrp5,season,freq,freq_se,freq_lcl,freq_ucl,sens,sens_se,sens_lcl,sens_ucl,prob_d,prob_d_se,prob_d_lcl,prob_d_ucl,mult,mult_lcl,mult_ucl
1,1011,0.611282657,0.073646522,0.466935474,0.75562984,0.792297725,0.04667226,0.700820095,0.883775354,0.484317859,0.064951342,0.357013228,0.611622489,2.064759708,1.634995471,2.801016663
2,1011,0.53366524,0.064725425,0.406803408,0.660527072,0.756778026,0.071275883,0.617077295,0.896478756,0.403866127,0.062017426,0.282311972,0.525420281,2.476068018,1.903238295,3.542180632
3,1011,0.467077218,0.063326399,0.342957476,0.59119696,0.79649546,0.050760527,0.697004827,0.895986093,0.372024884,0.055733586,0.262787056,0.481262711,2.68799224,2.077867195,3.805362469
4,1011,0.321155497,0.058154883,0.207171927,0.435139067,0.781130883,0.060752204,0.662056563,0.900205204,0.250864477,0.049439348,0.153963355,0.347765598,3.986216032,2.875500062,6.495052
5,1011,0.284905788,0.045559958,0.19560827,0.374203306,0.546954608,0.079927276,0.390297148,0.703612069,0.155830534,0.033756781,0.089667242,0.221993825,6.417227587,4.504629802,11.15234474
1,1112,0.617645185,0.079047786,0.462711524,0.772578847,0.798224366,0.051093827,0.698080465,0.898368268,0.493019437,0.070549553,0.354742313,0.63129656,2.028317599,1.584041579,2.818947622
2,1112,0.519104536,0.105266013,0.31278315,0.725425923,0.766174156,0.074974822,0.619223505,0.913124808,0.39772448,0.089551715,0.22220312,0.573245841,2.514303367,1.744452255,4.50038686
3,1112,0.363676746,0.083067739,0.200863977,0.526489515,0.793760569,0.071004327,0.654592088,0.932929051,0.288672261,0.070812077,0.14988059,0.427463932,3.464136098,2.33937866,6.671977993
4,1112,0.295599897,0.077947279,0.142823231,0.448376564,0.810258104,0.066790715,0.679348303,0.941167905,0.239512213,0.066171429,0.109816212,0.369208213,4.175152447,2.708498793,9.106123628
5,1112,0.237828702,0.056004502,0.128059879,0.347597526,0.598882254,0.082007467,0.438147619,0.75961689,0.142431389,0.038798633,0.066386069,0.21847671,7.020924279,4.577146919,15.06340137
1,1213,0.687390293,0.056343322,0.576957382,0.797823204,0.783268995,0.041925878,0.701094273,0.865443716,0.538411504,0.052708554,0.435102739,0.641720269,1.857315442,1.558311384,2.298307757
2,1213,0.550369808,0.042057651,0.467936811,0.632802804,0.776170858,0.049428367,0.679291259,0.873050457,0.427181006,0.042493257,0.343894223,0.510467789,2.340928052,1.958987466,2.90787089
3,1213,0.454669515,0.056003535,0.344902587,0.564436443,0.75221108,0.049556335,0.655080664,0.849341497,0.342007447,0.047773635,0.248371122,0.435643773,2.923912938,2.295453449,4.026232968
4,1213,0.407147247,0.048117493,0.31283696,0.501457534,0.733417406,0.050326775,0.634776926,0.832057886,0.298608878,0.040807543,0.218626094,0.378591662,3.348862254,2.641368264,4.574019417
5,1213,0.386476603,0.048071134,0.292257179,0.480696026,0.536896206,0.056762569,0.425641571,0.64815084,0.207497822,0.033872777,0.141107179,0.273888465,4.819327702,3.651121273,7.086811672
1,1314,0.659294285,0.042570042,0.575857002,0.742731568,0.809092731,0.037775425,0.735052897,0.883132564,0.533430214,0.042504036,0.450122304,0.616738124,1.874659467,1.621433736,2.221618418
