season,ag,USpop,FSNpop,FSNfluhosp,FSNfludeath,PIdeathoshprop,RCdeathoshprop,nonRCdeathoshprop,perctested,perctestedSE,sens,sensSE,Pdetect,PdetectSE,Multiplier,perctesteddth,perctesteddthSE,sensdeath,sensdeathSE,Pdthdetect,PdthdetectSE
2010-11,<5,20201362,2055894,954,3,0.502,0.268,0.289,0.6113,0.074,0.7923,0.047,0.48,0.06,2.065,0.282,0.06,0.792,0.092,0.22,0.05
2010-11,5 to 17,53980105,5011658,456,1,0.382,0.459,0.763,0.5337,0.065,0.7568,0.071,0.4,0.06,2.476,0.282,0.06,0.757,0.092,0.22,0.05
2010-11,18-49,135515233,13408293,1531,44,0.306,0.614,0.792,0.4671,0.063,0.7965,0.051,0.37,0.06,2.688,0.282,0.06,0.796,0.092,0.22,0.05
2010-11,50-64,58780854,5496620,1205,48,0.231,0.611,0.722,0.3212,0.058,0.7811,0.061,0.25,0.05,3.986,0.282,0.06,0.781,0.092,0.22,0.05
2010-11,65+,40267984,3374018,2161,101,0.381,0.681,0.79,0.2849,0.046,0.547,0.08,0.16,0.03,6.417,0.241,0.057,0.547,0.172,0.13,0.05
2011-12,<5,20162058,1811740,290,0,0.501,0.27,0.291,0.6115,0.08,0.7994,0.051,0.49,0.07,2.046,0.25,0.153,0.799,0.354,0.2,0.15
2011-12,5 to 17,53772214,4743274,192,0,0.388,0.483,0.759,0.5191,0.105,0.7662,0.075,0.4,0.09,2.514,0.25,0.153,0.766,0.354,0.2,0.15
2011-12,18-49,135641166,12660142,526,6,0.308,0.61,0.8,0.3637,0.083,0.7938,0.071,0.29,0.07,3.464,0.25,0.153,0.794,0.354,0.2,0.15
2011-12,50-64,60622338,5346197,432,20,0.243,0.618,0.729,0.2956,0.078,0.8103,0.067,0.24,0.07,4.175,0.25,0.153,0.81,0.354,0.2,0.15
2011-12,65+,41394141,3226726,975,32,0.38,0.69,0.799,0.2378,0.056,0.5989,0.082,0.14,0.04,7.021,0.196,0.071,0.599,0.153,0.12,0.05
