Season State FIPS
1 CA 1
1 CA 13
1 CA 75
1 CO 1
1 CO 5
1 CO 31
1 CO 35
1 CO 59
1 CT 3
1 CT 7
1 CT 9
1 GA 63
1 GA 67
1 GA 89
1 GA 97
1 GA 121
1 GA 135
1 GA 217
1 GA 247
1 ID 1
1 ID 5
1 ID 55
1 MD 3
1 MD 5
1 MD 510
1 MD 13
1 MD 25
1 MD 27
1 MI 37
1 MI 45
1 MI 65
1 MN 3
1 MN 19
1 MN 37
1 MN 53
1 MN 123
1 MN 139
1 MN 163
1 NM 1
1 NM 5
1 NM 13
1 NM 17
1 NM 29
1 NM 45
1 NM 49
1 NY 1
1 NY 21
1 NY 39
1 NY 57
1 NY 83
1 NY 91
1 NY 93
1 NY 95
1 NY 37
1 NY 51
1 NY 55
1 NY 69
1 NY 73
1 NY 117
1 NY 123
1 OH 41
1 OH 45
1 OH 49
1 OH 89
1 OH 97
1 OH 117
1 OH 129
1 OH 159
1 OK 21
1 OK 31
1 OK 47
1 OK 109
1 OK 123
1 OR 5
1 OR 51
1 OR 67
1 RI 7
1 TN 21
1 TN 37
1 TN 43
1 TN 147
1 TN 149
1 TN 165
1 TN 187
1 TN 189
1 UT 35
2 CA 1
2 CA 13
2 CA 75
2 CO 1
2 CO 5
2 CO 31
2 CO 35
2 CO 59
2 CT 3
2 CT 7
2 CT 9
2 GA 63
2 GA 67
2 GA 89
2 GA 97
2 GA 121
2 GA 135
2 GA 217
2 GA 247
2 MD 3
2 MD 5
2 MD 510
2 MD 13
2 MD 25
2 MD 27
2 MI 37
2 MI 45
2 MI 65
2 MN 3
2 MN 19
2 MN 37
2 MN 53
2 MN 123
2 MN 139
2 MN 163
2 NM 1
2 NM 5
2 NM 13
2 NM 17
2 NM 29
2 NM 45
2 NM 49
2 NY 1
2 NY 21
2 NY 39
2 NY 57
2 NY 83
2 NY 91
2 NY 93
2 NY 95
2 NY 37
2 NY 51
2 NY 55
2 NY 69
2 NY 73
2 NY 117
2 NY 123
2 OH 41
2 OH 45
2 OH 49
2 OH 89
2 OH 97
2 OH 117
2 OH 129
2 OH 159
2 OR 5
2 OR 51
2 OR 67
2 RI 7
2 TN 21
2 TN 37
2 TN 43
2 TN 147
2 TN 149
2 TN 165
2 TN 187
2 TN 189
2 UT 35
3 CA 1
3 CA 13
3 CA 75
3 CO 1
3 CO 5
3 CO 31
3 CO 35
3 CO 59
3 CT 7
3 CT 9
3 GA 63
3 GA 67
3 GA 89
3 GA 97
3 GA 121
3 GA 135
3 GA 217
3 GA 247
3 IA 49
3 IA 77
3 IA 121
3 IA 153
3 IA 181
3 MD 3
3 MD 5
3 MD 510
3 MD 13
3 MD 25
3 MD 27
3 MI 37
3 MI 45
3 MI 49
3 MI 65
3 MN 3
3 MN 19
3 MN 37
3 MN 53
3 MN 123
3 MN 139
3 MN 163
3 NM 1
3 NM 5
3 NM 13
3 NM 17
3 NM 29
3 NM 45
3 NM 49
3 NY 1
3 NY 21
3 NY 39
3 NY 57
3 NY 83
3 NY 91
3 NY 93
3 NY 95
3 NY 37
3 NY 51
3 NY 55
3 NY 69
3 NY 73
3 NY 117
3 NY 123
3 OH 41
3 OH 45
3 OH 49
3 OH 89
3 OH 97
3 OH 117
3 OH 129
3 OH 159
3 OR 5
3 OR 51
3 OR 67
3 RI 7
3 TN 21
3 TN 37
3 TN 43
3 TN 147
3 TN 149
3 TN 165
3 TN 187
3 TN 189
3 UT 35
4 CA 1
4 CA 13
4 CA 75
4 CO 1
4 CO 5
4 CO 31
4 CO 35
4 CO 59
4 CT 7
4 CT 9
4 GA 63
4 GA 67
4 GA 89
4 GA 97
4 GA 121
4 GA 135
4 GA 217
4 GA 247
4 MD 3
4 MD 5
4 MD 510
4 MD 13
4 MD 25
4 MD 27
4 MI 37
4 MI 45
4 MI 49
4 MI 65
4 MN 3
4 MN 19
4 MN 37
4 MN 53
4 MN 123
4 MN 139
4 MN 163
4 NM 1
4 NM 5
4 NM 13
4 NM 17
4 NM 29
4 NM 45
4 NM 49
4 NY 1
4 NY 21
4 NY 39
4 NY 57
4 NY 83
4 NY 91
4 NY 93
4 NY 95
4 NY 37
4 NY 51
4 NY 55
4 NY 69
4 NY 73
4 NY 117
4 NY 123
4 OH 41
4 OH 45
4 OH 49
4 OH 73
4 OH 89
4 OH 97
4 OH 117
4 OH 127
4 OH 129
4 OH 159
4 OR 5
4 OR 51
4 OR 67
4 TN 21
4 TN 37
4 TN 43
4 TN 147
4 TN 149
4 TN 165
4 TN 187
4 TN 189
4 UT 35
5 CA 1
5 CA 13
5 CA 75
5 CO 1
5 CO 5
5 CO 31
5 CO 35
5 CO 59
5 CT 7
5 CT 9
5 GA 63
5 GA 67
5 GA 89
5 GA 97
5 GA 121
5 GA 135
5 GA 217
5 GA 247
5 MD 3
5 MD 5
5 MD 510
5 MD 13
5 MD 25
5 MD 27
5 MI 37
5 MI 45
5 MI 49
5 MI 65
5 MN 3
5 MN 19
5 MN 37
5 MN 53
5 MN 123
5 MN 139
5 MN 163
5 NM 1
5 NM 5
5 NM 13
5 NM 17
5 NM 29
5 NM 45
5 NM 49
5 NY 1
5 NY 21
5 NY 39
5 NY 57
5 NY 83
5 NY 91
5 NY 93
5 NY 95
5 NY 37
5 NY 51
5 NY 55
5 NY 69
5 NY 73
5 NY 117
5 NY 123
5 OH 41
5 OH 45
5 OH 49
5 OH 73
5 OH 89
5 OH 97
5 OH 117
5 OH 127
5 OH 129
5 OH 159
5 OR 5
5 OR 51
5 OR 67
5 TN 21
5 TN 37
5 TN 43
5 TN 147
5 TN 149
5 TN 165
5 TN 187
5 TN 189
5 UT 35
6 CA 1
6 CA 13
6 CA 75
6 CO 1
6 CO 5
6 CO 31
6 CO 35
6 CO 59
6 CT 7
6 CT 9
6 GA 63
6 GA 67
6 GA 89
6 GA 97
6 GA 121
6 GA 135
6 GA 217
6 GA 247
6 MD 3
6 MD 5
6 MD 510
6 MD 13
6 MD 25
6 MD 27
6 MI 37
6 MI 45
6 MI 49
6 MI 65
6 MN 3
6 MN 19
6 MN 37
6 MN 53
6 MN 123
6 MN 139
6 MN 163
6 NM 1
6 NM 5
6 NM 13
6 NM 17
6 NM 29
6 NM 45
6 NM 49
6 NY 1
6 NY 21
6 NY 39
6 NY 57
6 NY 83
6 NY 91
6 NY 93
6 NY 95
6 NY 37
6 NY 51
6 NY 55
6 NY 69
6 NY 73
6 NY 117
6 NY 123
6 OH 41
6 OH 45
6 OH 49
6 OH 73
6 OH 89
6 OH 97
6 OH 117
6 OH 127
6 OH 129
6 OH 159
6 OR 5
6 OR 51
6 OR 67
6 TN 21
6 TN 37
