season,agecat,USpop,FSNpop
1,1,20201362,2055894
1,2,53980105,5011658
1,3,135515233,13408293
1,4,58780854,5496620
1,5,40267984,3374018
2,1,20162058,1811740
2,2,53772214,4743274
2,3,135641166,12660142
2,4,60622338,5346197
2,5,41394141,3226726
3,1,19999344,1820890
3,2,53728744,4798429
3,3,135875135,12787474
3,4,61165461,5430213
3,5,43145356,3383008
4,1,19868088,1736732
4,2,53717784,4618905
4,3,135963236,12315146
4,4,61875657,5296266
4,5,44704074,3382134
5,1,19876883,1740147
5,2,53706735,4635262
5,3,136381837,12402660
5,4,62648390,5372656
5,5,46243211,3521076
6,1,19907281,1740147
6,2,53737830,4635262
6,3,136800721,12402660
6,4,63212136,5372656
6,5,47760852,3521076
7,1,19927037,1746972
7,2,53715248,4657742
7,3,136938833,12566684
7,4,63302200,5440050
7,5,49244195,3784728
