,season,state,ag,rcu,pi,osh
1,1,CA,1,406,52,0
2,1,CA,1,159,33,1
3,1,GA,1,118,10,0
4,1,GA,1,42,7,1
5,1,OR,1,26,2,0
6,1,OR,1,11,6,1
7,1,CT,1,27,3,0
8,1,CT,1,12,2,1
9,1,CO,1,52,5,0
10,1,CO,1,18,6,1
11,1,NM,1,13,2,0
12,1,NM,1,16,4,1
13,1,NY,1,171,14,0
14,1,NY,1,84,15,1
15,1,MN,1,62,9,0
16,1,MN,1,30,14,1
17,1,TN,1,85,5,0
18,1,TN,1,33,7,1
19,1,MI,1,83,13,0
20,1,MI,1,30,10,1
21,1,CA,2,194,34,0
22,1,CA,2,137,12,1
23,1,GA,2,53,6,0
24,1,GA,2,47,4,1
25,1,OR,2,14,4,0
26,1,OR,2,10,1,1
27,1,CT,2,12,1,0
28,1,CT,2,13,1,1
29,1,CO,2,26,6,0
30,1,CO,2,18,1,1
31,1,NM,2,7,0,0
32,1,NM,2,14,4,1
33,1,NY,2,88,19,0
34,1,NY,2,68,9,1
35,1,MN,2,23,4,0
36,1,MN,2,14,4,1
37,1,TN,2,33,5,0
38,1,TN,2,28,4,1
39,1,MI,2,36,7,0
40,1,MI,2,40,8,1
41,1,CA,3,4065,782,0
42,1,CA,3,4945,301,1
43,1,GA,3,1282,205,0
44,1,GA,3,1866,57,1
45,1,OR,3,259,44,0
46,1,OR,3,363,24,1
47,1,CT,3,336,50,0
48,1,CT,3,396,11,1
49,1,CO,3,360,60,0
50,1,CO,3,662,43,1
51,1,NM,3,162,40,0
52,1,NM,3,270,38,1
53,1,NY,3,2270,430,0
54,1,NY,3,2562,143,1
55,1,MN,3,342,59,0
56,1,MN,3,559,49,1
57,1,TN,3,1028,200,0
58,1,TN,3,1409,72,1
59,1,MI,3,1007,186,0
60,1,MI,3,1528,101,1
61,1,CA,4,11319,2141,0
62,1,CA,4,14585,627,1
63,1,GA,4,3556,569,0
64,1,GA,4,5510,149,1
65,1,OR,4,1021,143,0
66,1,OR,4,1612,69,1
67,1,CT,4,1142,167,0
68,1,CT,4,1330,32,1
69,1,CO,4,1000,173,0
70,1,CO,4,1928,94,1
71,1,NM,4,545,114,0
72,1,NM,4,904,65,1
73,1,NY,4,7238,1178,0
74,1,NY,4,7724,279,1
75,1,MN,4,1174,181,0
76,1,MN,4,1678,96,1
77,1,TN,4,3197,609,0
78,1,TN,4,4107,146,1
79,1,MI,4,3599,679,0
80,1,MI,4,5130,183,1
81,1,CA,5,46219,11920,0
82,1,CA,5,89099,6575,1
83,1,GA,5,11304,2375,0
84,1,GA,5,21988,1337,1
85,1,OR,5,4408,808,0
86,1,OR,5,11709,867,1
87,1,CT,5,6697,1345,0
88,1,CT,5,10721,850,1
89,1,CO,5,3662,723,0
90,1,CO,5,11027,949,1
91,1,NM,5,2001,502,0
92,1,NM,5,5265,485,1
93,1,NY,5,38292,8177,0
94,1,NY,5,50069,2926,1
95,1,MN,5,5992,1183,0
96,1,MN,5,13826,1334,1
97,1,TN,5,12283,2857,0
98,1,TN,5,18088,1502,1
99,1,MI,5,15473,3170,0
