state,season,agcat,Tested,notTested
GA,3,1,53,24
GA,4,1,47,9
GA,5,1,46,4
GA,6,1,37,13
GA,7,1,48,22
GA,3,2,29,34
GA,4,2,14,5
GA,5,2,19,6
GA,6,2,32,18
GA,7,2,46,24
GA,3,3,9,47
GA,4,3,18,22
GA,5,3,18,20
GA,6,3,22,28
GA,7,3,26,44
GA,3,4,12,72
GA,4,4,8,27
GA,5,4,9,28
GA,6,4,17,33
GA,7,4,23,47
GA,3,5,11,103
GA,4,5,19,91
GA,5,5,42,70
GA,6,5,36,67
GA,7,5,48,103
MN,3,1,27,30
MN,4,1,30,22
MN,5,1,34,22
MN,6,1,31,37
MN,7,1,35,34
MN,3,2,8,9
MN,4,2,12,9
MN,5,2,6,9
MN,6,2,13,17
MN,7,2,21,48
MN,3,3,14,21
MN,4,3,17,25
MN,5,3,15,13
MN,6,3,21,30
MN,7,3,33,40
MN,3,4,11,29
MN,4,4,12,21
MN,5,4,25,22
MN,6,4,29,21
MN,7,4,26,39
MN,3,5,33,83
MN,4,5,38,70
MN,5,5,53,66
MN,6,5,77,26
MN,7,5,69,83
OR,3,1,26,36
OR,4,1,122,113
OR,5,1,41,22
OR,6,1,14,7
OR,7,1,34,16
OR,3,2,7,3
OR,4,2,31,36
OR,5,2,6,6
OR,6,2,9,8
OR,7,2,33,17
OR,3,3,11,13
OR,4,3,76,74
OR,5,3,19,10
OR,6,3,11,5
OR,7,3,34,16
OR,3,4,16,33
OR,4,4,88,160
OR,5,4,20,27
OR,6,4,4,4
OR,7,4,33,17
OR,3,5,28,69
OR,4,5,163,378
OR,5,5,53,62
OR,6,5,6,7
OR,7,5,71,32
TN,3,1,31,21
TN,4,1,27,21
TN,5,1,25,30
TN,6,1,17,33
TN,7,1,18,32
TN,3,2,11,12
TN,4,2,17,10
TN,5,2,13,10
TN,6,2,19,31
TN,7,2,27,23
TN,3,3,20,30
TN,4,3,21,34
TN,5,3,26,17
TN,6,3,18,31
TN,7,3,19,31
TN,3,4,8,17
TN,4,4,4,16
TN,5,4,14,18
TN,6,4,14,36
TN,7,4,21,29
TN,3,5,31,92
TN,4,5,37,94
TN,5,5,43,71
TN,6,5,40,72
TN,7,5,37,70
CA2,3,1,38,3
CA2,4,1,17,24
CA2,5,1,32,47
CA2,6,1,182,17
CA2,7,1,144,20
CA2,3,2,14,11
CA2,4,2,9,8
CA2,5,2,18,15
CA2,6,2,44,12
CA2,7,2,38,18
CA2,3,3,67,30
CA2,4,3,72,34
CA2,5,3,75,36
CA2,6,3,214,148
CA2,7,3,207,139
CA2,3,4,140,64
CA2,4,4,125,86
CA2,5,4,144,73
CA2,6,4,315,236
CA2,7,4,380,179
CA2,3,5,446,263
CA2,4,5,315,245
CA2,5,5,451,247
CA2,6,5,777,556
CA2,7,5,1065,537
CO,3,1,38,28
CO,4,1,38,26
CO,5,1,30,33
CO,6,1,26,24
CO,7,1,24,26
CO,3,2,5,4
CO,4,2,8,3
CO,5,2,10,2
CO,6,2,25,25
CO,7,2,21,29
CO,3,3,13,12
CO,4,3,14,15
CO,5,3,21,9
CO,6,3,29,21
CO,7,3,32,18
CO,3,4,27,23
CO,4,4,25,21
CO,5,4,29,16
CO,6,4,32,18
CO,7,4,41,9
CO,3,5,51,67
CO,4,5,62,57
CO,5,5,58,52
CO,6,5,51,57
CO,7,5,78,33
NM,3,1,34,16
NM,4,1,33,19
NM,5,1,39,18
NM,6,1,33,17
NM,7,1,28,22
NM,3,2,9,16
NM,4,2,10,13
NM,5,2,13,5
NM,6,2,24,26
NM,7,2,20,30
NM,3,3,9,24
NM,4,3,14,19
NM,5,3,19,12
NM,6,3,21,29
NM,7,3,19,31
NM,3,4,14,28
NM,4,4,21,21
NM,5,4,21,23
NM,6,4,25,25
NM,7,4,23,27
NM,3,5,43,70
NM,4,5,38,88
NM,5,5,41,71
NM,6,5,41,67
NM,7,5,52,58
NYR,3,1,28,6
NYR,4,1,27,5
NYR,5,1,21,17
NYR,6,1,32,19
NYR,7,1,33,18
NYR,3,2,13,3
NYR,4,2,13,5
NYR,5,2,7,4
NYR,6,2,29,15
NYR,7,2,36,13
NYR,3,3,20,9
NYR,4,3,14,11
NYR,5,3,13,5
NYR,6,3,31,20
NYR,7,3,36,13
NYR,3,4,25,21
NYR,4,4,26,24
NYR,5,4,37,22
NYR,6,4,34,17
NYR,7,4,33,17
NYR,3,5,54,37
NYR,4,5,58,51
NYR,5,5,67,36
NYR,6,5,64,37
NYR,7,5,82,22
CT,3,1,48,2
CT,4,1,47,12
CT,5,1,45,17
CT,6,1,31,19
CT,7,1,26,24
CT,3,2,12,5
CT,4,2,11,4
CT,5,2,9,5
CT,6,2,20,30
CT,7,2,24,26
CT,3,3,11,12
CT,4,3,16,8
CT,5,3,20,8
CT,6,3,36,15
CT,7,3,29,21
CT,3,4,23,29
CT,4,4,26,25
CT,5,4,29,18
CT,6,4,35,15
CT,7,4,39,11
CT,3,5,56,23
CT,4,5,56,47
CT,5,5,66,37
CT,6,5,76,32
CT,7,5,76,29
