year,age,pop
2010,0,3951454
2010,1,3957695
2010,2,4090616
2010,3,4111682
2010,4,4077326
2010,5,4064480
2010,6,4072889
2010,7,4042967
2010,8,4025495
2010,9,4125317
2010,10,4186959
2010,11,4115452
2010,12,4113239
2010,13,4119585
2010,14,4145490
2010,15,4230902
2010,16,4313090
2010,17,4376158
2010,18,4490385
2010,19,4570789
2010,20,4568055
2010,21,4387520
2010,22,4286502
2010,23,4216698
2010,24,4243224
2010,25,4289018
2010,26,4160508
2010,27,4236809
2010,28,4247376
2010,29,4210139
2010,30,4304114
2010,31,4042424
2010,32,3967447
2010,33,3933404
2010,34,3822120
2010,35,3948190
2010,36,3830090
2010,37,3896623
2010,38,4080090
2010,39,4324292
2010,40,4387318
2010,41,4163365
2010,42,4082649
2010,43,4093719
2010,44,4178367
2010,45,4438446
2010,46,4529607
2010,47,4535360
2010,48,4534558
2010,49,4598974
2010,50,4646111
2010,51,4498875
2010,52,4480498
2010,53,4439343
2010,54,4288408
2010,55,4258899
2010,56,4093115
2010,57,3946482
2010,58,3802411
2010,59,3694225
2010,60,3616676
2010,61,3520129
2010,62,3495097
2010,63,3652182
2010,64,2706101
2010,65,2678528
2010,66,2621359
2010,67,2693743
2010,68,2359862
2010,69,2167896
2010,70,2062660
2010,71,1953665
2010,72,1883894
2010,73,1750372
2010,74,1686065
2010,75,1631948
2010,76,1481772
2010,77,1449228
2010,78,1402261
2010,79,1355002
2010,80,1319813
2010,81,1212664
2010,82,1158424
2010,83,1081505
2010,84,987098
2010,85+,5543134
2010,,309338421
2011,0,3962971
2011,1,3966056
2011,2,3970491
2011,3,4101643
2011,4,4121485
2011,5,4087056
2011,6,4074516
2011,7,4082870
2011,8,4052889
2011,9,4035461
2011,10,4135458
2011,11,4197307
2011,12,4126020
2011,13,4124131
2011,14,4131295
2011,15,4158739
2011,16,4247235
2011,17,4334584
2011,18,4401461
2011,19,4518349
2011,20,4598385
2011,21,4594545
2011,22,4413679
2011,23,4312907
2011,24,4242863
2011,25,4268587
2011,26,4312376
2011,27,4182321
2011,28,4257105
2011,29,4265555
2011,30,4226341
2011,31,4318453
2011,32,4054769
2011,33,3978681
2011,34,3943239
2011,35,3831104
2011,36,3955372
2011,37,3836098
2011,38,3901363
2011,39,4083814
2011,40,4325717
2011,41,4386968
2011,42,4162181
2011,43,4080591
2011,44,4090705
2011,45,4173540
2011,46,4431746
2011,47,4520780
2011,48,4524448
2011,49,4521744
2011,50,4584099
2011,51,4629595
2011,52,4480792
2011,53,4460552
2011,54,4417728
2011,55,4265476
2011,56,4234860
2011,57,4067978
2011,58,3920277
2011,59,3775188
2011,60,3666218
2011,61,3587599
2011,62,3488936
2011,63,3460878
2011,64,3613910
2011,65,2675466
2011,66,2645920
2011,67,2585932
2011,68,2653842
2011,69,2321680
2011,70,2129537
2011,71,2022881
2011,72,1912282
2011,73,1840052
2011,74,1705554
2011,75,1638654
2011,76,1581379
2011,77,1430871
2011,78,1394574
2011,79,1343797
2011,80,1292519
2011,81,1252511
2011,82,1143974
2011,83,1085413
2011,84,1005470
2011,85+,5701892
2011,,311644280
2012,0,3926486
2012,1,3977264
2012,2,3978648
2012,3,3981321
