mmwrstrt	mmwrend	studywk	week	wyear	season	dvdweek	month	yearmonth
1/2/1972	1/8/1972	1	1	1972	1971\1972	197201	1	197201
1/9/1972	1/15/1972	2	2	1972	1971\1972	197202	1	197201
1/16/1972	1/22/1972	3	3	1972	1971\1972	197203	1	197201
1/23/1972	1/29/1972	4	4	1972	1971\1972	197204	1	197201
1/30/1972	2/5/1972	5	5	1972	1971\1972	197205	2	197202
2/6/1972	2/12/1972	6	6	1972	1971\1972	197206	2	197202
2/13/1972	2/19/1972	7	7	1972	1971\1972	197207	2	197202
2/20/1972	2/26/1972	8	8	1972	1971\1972	197208	2	197202
2/27/1972	3/4/1972	9	9	1972	1971\1972	197209	3	197203
3/5/1972	3/11/1972	10	10	1972	1971\1972	197210	3	197203
3/12/1972	3/18/1972	11	11	1972	1971\1972	197211	3	197203
3/19/1972	3/25/1972	12	12	1972	1971\1972	197212	3	197203
3/26/1972	4/1/1972	13	13	1972	1971\1972	197213	3	197203
4/2/1972	4/8/1972	14	14	1972	1971\1972	197214	4	197204
4/9/1972	4/15/1972	15	15	1972	1971\1972	197215	4	197204
4/16/1972	4/22/1972	16	16	1972	1971\1972	197216	4	197204
4/23/1972	4/29/1972	17	17	1972	1971\1972	197217	4	197204
4/30/1972	5/6/1972	18	18	1972	1971\1972	197218	5	197205
5/7/1972	5/13/1972	19	19	1972	1971\1972	197219	5	197205
5/14/1972	5/20/1972	20	20	1972	1971\1972	197220	5	197205
5/21/1972	5/27/1972	21	21	1972	1971\1972	197221	5	197205
5/28/1972	6/3/1972	22	22	1972	1971\1972	197222	5	197205
6/4/1972	6/10/1972	23	23	1972	1971\1972	197223	6	197206
6/11/1972	6/17/1972	24	24	1972	1971\1972	197224	6	197206
6/18/1972	6/24/1972	25	25	1972	1971\1972	197225	6	197206
6/25/1972	7/1/1972	26	26	1972	1971\1972	197226	6	197206
7/2/1972	7/8/1972	27	27	1972	1972\1973	197227	7	197207
7/9/1972	7/15/1972	28	28	1972	1972\1973	197228	7	197207
7/16/1972	7/22/1972	29	29	1972	1972\1973	197229	7	197207
7/23/1972	7/29/1972	30	30	1972	1972\1973	197230	7	197207
7/30/1972	8/5/1972	31	31	1972	1972\1973	197231	8	197208
8/6/1972	8/12/1972	32	32	1972	1972\1973	197232	8	197208
8/13/1972	8/19/1972	33	33	1972	1972\1973	197233	8	197208
8/20/1972	8/26/1972	34	34	1972	1972\1973	197234	8	197208
8/27/1972	9/2/1972	35	35	1972	1972\1973	197235	8	197208
9/3/1972	9/9/1972	36	36	1972	1972\1973	197236	9	197209
9/10/1972	9/16/1972	37	37	1972	1972\1973	197237	9	197209
9/17/1972	9/23/1972	38	38	1972	1972\1973	197238	9	197209
9/24/1972	9/30/1972	39	39	1972	1972\1973	197239	9	197209
10/1/1972	10/7/1972	40	40	1972	1972\1973	197240	10	197210
10/8/1972	10/14/1972	41	41	1972	1972\1973	197241	10	197210
10/15/1972	10/21/1972	42	42	1972	1972\1973	197242	10	197210
10/22/1972	10/28/1972	43	43	1972	1972\1973	197243	10	197210
10/29/1972	11/4/1972	44	44	1972	1972\1973	197244	11	197211
11/5/1972	11/11/1972	45	45	1972	1972\1973	197245	11	197211
11/12/1972	11/18/1972	46	46	1972	1972\1973	197246	11	197211
11/19/1972	11/25/1972	47	47	1972	1972\1973	197247	11	197211
11/26/1972	12/2/1972	48	48	1972	1972\1973	197248	11	197211
12/3/1972	12/9/1972	49	49	1972	1972\1973	197249	12	197212
12/10/1972	12/16/1972	50	50	1972	1972\1973	197250	12	197212
12/17/1972	12/23/1972	51	51	1972	1972\1973	197251	12	197212
12/24/1972	12/30/1972	52	52	1972	1972\1973	197252	12	197212
12/31/1972	1/6/1973	53	1	1973	1972\1973	197301	1	197301
1/7/1973	1/13/1973	54	2	1973	1972\1973	197302	1	197301
1/14/1973	1/20/1973	55	3	1973	1972\1973	197303	1	197301
1/21/1973	1/27/1973	56	4	1973	1972\1973	197304	1	197301
1/28/1973	2/3/1973	57	5	1973	1972\1973	197305	1	197301
2/4/1973	2/10/1973	58	6	1973	1972\1973	197306	2	197302
2/11/1973	2/17/1973	59	7	1973	1972\1973	197307	2	197302
2/18/1973	2/24/1973	60	8	1973	1972\1973	197308	2	197302
2/25/1973	3/3/1973	61	9	1973	1972\1973	197309	2	197302
