season,stateoc,agecat,osh,rcu,pi
1,AK,1,0,4,1
1,AK,1,1,1,1
1,AK,2,0,2,1
1,AK,2,1,0,0
1,AK,3,0,29,7
1,AK,3,1,79,9
1,AK,4,0,102,17
1,AK,4,1,213,7
1,AK,5,0,337,67
1,AK,5,1,466,43
1,AL,1,0,30,0
1,AL,1,1,23,3
1,AL,2,0,21,6
1,AL,2,1,15,1
1,AL,3,0,515,88
1,AL,3,1,683,25
1,AL,4,0,1463,253
1,AL,4,1,1810,32
1,AL,5,0,5599,1313
1,AL,5,1,8160,363
1,AR,1,0,18,1
1,AR,1,1,15,2
1,AR,2,0,8,2
1,AR,2,1,9,2
1,AR,3,0,241,29
1,AR,3,1,450,32
1,AR,4,0,737,141
1,AR,4,1,1234,53
1,AR,5,0,3382,859
1,AR,5,1,5615,402
1,AZ,1,0,52,5
1,AZ,1,1,18,5
1,AZ,2,0,26,2
1,AZ,2,1,19,3
1,AZ,3,0,404,88
1,AZ,3,1,464,43
1,AZ,4,0,1033,200
1,AZ,4,1,1681,121
1,AZ,5,0,3795,826
1,AZ,5,1,11016,915
1,CA,1,0,244,37
1,CA,1,1,105,25
1,CA,2,0,125,24
1,CA,2,1,71,9
1,CA,3,0,2607,541
1,CA,3,1,3076,211
1,CA,4,0,7098,1357
1,CA,4,1,9116,402
1,CA,5,0,29859,7938
1,CA,5,1,55961,4342
1,CO,1,0,40,3
1,CO,1,1,9,5
1,CO,2,0,18,4
1,CO,2,1,11,1
1,CO,3,0,219,37
1,CO,3,1,374,24
1,CO,4,0,620,115
1,CO,4,1,1134,64
1,CO,5,0,2349,467
1,CO,5,1,6878,633
1,CT,1,0,20,3
1,CT,1,1,6,0
1,CT,2,0,8,1
1,CT,2,1,10,1
1,CT,3,0,202,27
1,CT,3,1,252,9
1,CT,4,0,671,97
1,CT,4,1,822,21
1,CT,5,0,4230,884
1,CT,5,1,6908,577
1,DC,1,0,15,2
1,DC,1,1,2,0
1,DC,2,0,10,2
1,DC,2,1,3,0
1,DC,3,0,126,22
1,DC,3,1,42,3
1,DC,4,0,321,41
1,DC,4,1,184,5
1,DC,5,0,780,126
1,DC,5,1,703,30
1,DE,1,0,22,1
1,DE,1,1,3,1
1,DE,2,0,4,0
1,DE,2,1,3,0
1,DE,3,0,69,10
1,DE,3,1,102,8
1,DE,4,0,165,28
1,DE,4,1,280,5
1,DE,5,0,740,171
1,DE,5,1,1610,109
1,FL,1,0,138,20
1,FL,1,1,56,13
1,FL,2,0,48,7
1,FL,2,1,44,6
1,FL,3,0,1340,257
1,FL,3,1,1590,115
1,FL,4,0,3991,608
1,FL,4,1,5332,201
1,FL,5,0,19168,3244
1,FL,5,1,35402,1802
1,GA,1,0,66,8
1,GA,1,1,27,5
1,GA,2,0,34,6
1,GA,2,1,24,3
1,GA,3,0,802,135
1,GA,3,1,1193,44
1,GA,4,0,2244,378
1,GA,4,1,3353,99
1,GA,5,0,7432,1636
1,GA,5,1,14034,915
1,HI,1,0,11,3
1,HI,1,1,5,3
1,HI,2,0,6,1
1,HI,2,1,5,1
1,HI,3,0,110,15
1,HI,3,1,116,5
1,HI,4,0,262,53
1,HI,4,1,332,10
1,HI,5,0,1337,330
1,HI,5,1,1924,217
1,IA,1,0,12,1
1,IA,1,1,4,1
1,IA,2,0,6,2
1,IA,2,1,5,1
1,IA,3,0,121,18
1,IA,3,1,279,20
1,IA,4,0,452,84
1,IA,4,1,866,32
1,IA,5,0,2888,611
1,IA,5,1,6742,683
1,ID,1,0,7,1
1,ID,1,1,5,3
1,ID,2,0,4,2
1,ID,2,1,5,1
1,ID,3,0,61,10
1,ID,3,1,139,8
1,ID,4,0,205,29
1,ID,4,1,397,15
1,ID,5,0,1040,227
1,ID,5,1,2662,256
1,IL,1,0,74,9
1,IL,1,1,39,9
1,IL,2,0,40,12
1,IL,2,1,28,6
1,IL,3,0,683,147
1,IL,3,1,1155,65
1,IL,4,0,2238,459
1,IL,4,1,3175,113
1,IL,5,0,11489,2792
1,IL,5,1,19451,1611
1,IN,1,0,59,8
1,IN,1,1,28,2
1,IN,2,0,15,2
1,IN,2,1,18,3
1,IN,3,0,487,99
1,IN,3,1,722,45
1,IN,4,0,1550,263
1,IN,4,1,1976,74
1,IN,5,0,6868,1409
1,IN,5,1,11299,1027
1,KS,1,0,14,3
1,KS,1,1,10,3
1,KS,2,0,6,0
1,KS,2,1,7,3
1,KS,3,0,162,34
1,KS,3,1,236,18
1,KS,4,0,519,78
1,KS,4,1,758,40
1,KS,5,0,2575,617
1,KS,5,1,5014,417
1,KY,1,0,28,6
1,KY,1,1,14,2
1,KY,2,0,5,1
1,KY,2,1,14,2
1,KY,3,0,394,97
1,KY,3,1,603,46
1,KY,4,0,1258,295
1,KY,4,1,1620,54
1,KY,5,0,5567,1321
1,KY,5,1,7189,599
1,LA,1,0,26,2
1,LA,1,1,23,6
1,LA,2,0,6,1
1,LA,2,1,11,1
1,LA,3,0,318,62
1,LA,3,1,624,45
1,LA,4,0,1000,159
1,LA,4,1,1765,78
1,LA,5,0,3942,909
1,LA,5,1,6769,376
1,MA,1,0,26,3
1,MA,1,1,7,2
1,MA,2,0,15,1
1,MA,2,1,17,1
1,MA,3,0,320,75
1,MA,3,1,398,25
1,MA,4,0,1203,289
1,MA,4,1,1479,56
1,MA,5,0,6705,1762
1,MA,5,1,11887,1261
1,MD,1,0,34,2
1,MD,1,1,10,2
1,MD,2,0,7,2
1,MD,2,1,10,1
1,MD,3,0,298,75
1,MD,3,1,534,41
1,MD,4,0,1002,218
1,MD,4,1,1534,55
1,MD,5,0,4413,1222
1,MD,5,1,9109,779
1,ME,1,0,2,0
1,ME,1,1,2,0
1,ME,2,0,7,3
1,ME,2,1,0,0
1,ME,3,0,56,10
1,ME,3,1,102,7
1,ME,4,0,277,52
1,ME,4,1,349,5
