season,agecat,osh,rcu,pi
1,1,0,2031,239
1,1,1,929,243
1,2,0,887,184
1,2,1,705,115
1,3,0,21118,4199
1,3,1,28673,1865
1,4,0,65294,11890
1,4,1,87416,3599
1,5,0,290707,65329
1,5,1,520347,40133
2,1,0,1951,209
2,1,1,875,209
2,2,0,799,158
2,2,1,694,100
2,3,0,19649,3473
2,3,1,26841,1552
2,4,0,63065,10938
2,4,1,88042,3517
2,5,0,275693,60713
2,5,1,516378,37253
3,1,0,1930,200
3,1,1,923,266
3,2,0,897,215
3,2,1,742,123
3,3,0,20309,3635
3,3,1,27391,1639
3,4,0,67169,12378
3,4,1,93370,3906
3,5,0,292560,67958
3,5,1,560493,43166
4,1,0,1900,239
4,1,1,856,202
4,2,0,810,151
4,2,1,720,85
4,3,0,21265,4544
4,3,1,27833,1881
4,4,0,68518,13748
4,4,1,97025,4150
4,5,0,272463,59911
4,5,1,545346,36135
5,1,0,1945,238
5,1,1,852,230
5,2,0,914,182
5,2,1,693,106
5,3,0,20260,3440
5,3,1,27281,1567
5,4,0,69098,12392
5,4,1,98352,4052
5,5,0,291817,67170
5,5,1,589558,42071
6,1,0,1974,193
6,1,1,861,234
6,2,0,839,138
6,2,1,685,105
6,3,0,21200,3742
6,3,1,27243,1562
6,4,0,70501,13110
6,4,1,100239,4016
6,5,0,281023,59556
6,5,1,577181,34495
7,1,0,1957,217
7,1,1,839,223
7,2,0,943,151
7,2,1,697,110
7,3,0,21463,3516
7,3,1,27797,1502
7,4,0,70396,12251
7,4,1,103118,3895
7,5,0,288862,62788
7,5,1,610671,37909
