"Notes"	"State"	"State Code"	"Age Group"	"Age Group Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2010"	"2010"	304266
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2011"	"2011"	302802
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2012"	"2012"	299194
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2013"	"2013"	294541
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2014"	"2014"	293552
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2015"	"2015"	293904
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2016"	"2016"	293581
	"Alabama"	"01"	"0 to 4"	"0 to 4"	"2017"	"2017"	293554
"Total"	"Alabama"	"01"	"0 to 4"	"0 to 4"			2375394
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2010"	"2010"	307245
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2011"	"2011"	304638
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2012"	"2012"	305697
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2013"	"2013"	306895
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2014"	"2014"	306281
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2015"	"2015"	305293
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2016"	"2016"	303815
	"Alabama"	"01"	"5 to 9"	"5 to 9"	"2017"	"2017"	301285
"Total"	"Alabama"	"01"	"5 to 9"	"5 to 9"			2441149
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2010"	"2010"	320128
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2011"	"2011"	321545
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2012"	"2012"	319737
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2013"	"2013"	316772
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2014"	"2014"	313855
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2015"	"2015"	309622
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2016"	"2016"	306649
	"Alabama"	"01"	"10 to 14"	"10 to 14"	"2017"	"2017"	308459
"Total"	"Alabama"	"01"	"10 to 14"	"10 to 14"			2516767
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2010"	"2010"	340838
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2011"	"2011"	329869
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2012"	"2012"	323668
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2013"	"2013"	320926
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2014"	"2014"	318496
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2015"	"2015"	319793
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2016"	"2016"	321050
	"Alabama"	"01"	"15 to 19"	"15 to 19"	"2017"	"2017"	318807
"Total"	"Alabama"	"01"	"15 to 19"	"15 to 19"			2593447
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2010"	"2010"	337771
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2011"	"2011"	346637
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2012"	"2012"	353245
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2013"	"2013"	356560
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2014"	"2014"	354041
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2015"	"2015"	345830
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2016"	"2016"	335898
	"Alabama"	"01"	"20 to 24"	"20 to 24"	"2017"	"2017"	329597
"Total"	"Alabama"	"01"	"20 to 24"	"20 to 24"			2759579
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2010"	"2010"	311153
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2011"	"2011"	309985
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2012"	"2012"	309585
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2013"	"2013"	311340
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2014"	"2014"	316332
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2015"	"2015"	323922
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2016"	"2016"	332156
	"Alabama"	"01"	"25 to 29"	"25 to 29"	"2017"	"2017"	338151
"Total"	"Alabama"	"01"	"25 to 29"	"25 to 29"			2552624
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2010"	"2010"	299441
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2011"	"2011"	304220
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2012"	"2012"	306478
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2013"	"2013"	307713
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2014"	"2014"	307513
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2015"	"2015"	305008
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2016"	"2016"	302966
	"Alabama"	"01"	"30 to 34"	"30 to 34"	"2017"	"2017"	302151
"Total"	"Alabama"	"01"	"30 to 34"	"30 to 34"			2435490
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2010"	"2010"	306598
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2011"	"2011"	296362
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2012"	"2012"	292346
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2013"	"2013"	291317
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2014"	"2014"	292385
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2015"	"2015"	295636
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2016"	"2016"	299887
	"Alabama"	"01"	"35 to 39"	"35 to 39"	"2017"	"2017"	302111
"Total"	"Alabama"	"01"	"35 to 39"	"35 to 39"			2376642
	"Alabama"	"01"	"40 to 44"	"40 to 44"	"2010"	"2010"	311600
	"Alabama"	"01"	"40 to 44"	"40 to 44"	"2011"	"2011"	314408
	"Alabama"	"01"	"40 to 44"	"40 to 44"	"2012"	"2012"	316148
	"Alabama"	"01"	"40 to 44"	"40 to 44"	"2013"	"2013"	315598
